#   t (Gyr) =  0.900

    M/MsTeff(K)    L/Ls  lg(g)  R(Gcm       D      Li         F33        F33B         F41        F45B         F47         F51         FHa         F57        F63B         F67         F75         F78         F82        F82B         F89       G_RSV           G        G_BP        G_RP
  0.0500  1401.   -4.49   5.16   6.75  0.0000  0.9260      29.713      29.713      26.829      25.088      24.312      25.208      21.602      25.405      21.854      21.020      20.760      20.319      18.496      18.364      16.962      17.516      19.555      24.489      18.124
  0.0600  1635.   -4.24   5.26   6.63  0.0000  0.0000      29.079      29.079      26.152      24.183      23.813      23.325      19.857      23.099      20.272      19.476      18.954      18.811      17.614      17.745      16.729      17.072      18.998      22.594      17.686
  0.0800  2414.   -3.49   5.31   7.19  0.0000  0.0000      25.637      25.637      23.443      21.169      20.779      20.280      17.513      19.546      17.938      17.203      15.653      15.687      14.387      14.630      13.610      14.334      15.962      19.645      14.620
  0.0900  2650.   -3.24   5.28   7.95  0.0000  0.0000      22.745      22.745      20.960      19.121      18.730      18.301      16.333      17.786      16.614      15.940      14.078      14.267      13.291      13.497      12.695      13.251      14.887      18.087      13.612
  0.1000  2811.   -3.06   5.24   8.74  0.0000  0.0000      20.830      20.830      19.032      17.539      17.176      16.760      15.212      16.377      15.503      14.917      13.164      13.300      12.562      12.744      12.116      12.505      14.129      16.711      12.925
  0.2000  3261.   -2.32   5.06  15.21  0.0000  0.0000      16.625      16.625      14.546      13.680      13.399      13.042      11.947      12.635      12.201      11.828      10.712      10.706      10.369      10.469      10.109      10.276      11.643      13.025      10.674
  0.3000  3415.   -1.99   4.98  20.37  0.0000  0.0000      15.372      15.372      13.356      12.513      12.228      11.889      10.823      11.436      11.061      10.727       9.786       9.755       9.489       9.573       9.265       9.400      10.663      11.845       9.765
  0.4000  3520.   -1.72   4.89  26.05  0.0000  0.0000      14.486      14.486      12.491      11.652      11.361      11.038       9.998      10.563      10.222       9.911       9.069       9.028       8.799       8.874       8.596       8.717       9.907      10.983       9.055
  0.5000  3680.   -1.46   4.81  32.24  0.0000  0.0000      13.564      13.564      11.583      10.723      10.412      10.117       9.109       9.602       9.309       9.031       8.343       8.288       8.112       8.173       7.938       8.039       9.112      10.041       8.334
  0.6000  3968.   -1.17   4.72  38.85  0.0000  0.0000      12.473      12.473      10.522       9.625       9.284       9.036       8.079       8.478       8.243       8.012       7.552       7.486       7.379       7.420       7.244       7.323       8.199       8.933       7.540
  0.7000  4386.   -0.87   4.67  44.64  0.0000  0.0000      11.010      11.010       9.247       8.466       8.103       7.992       7.001       7.366       7.157       6.955       6.748       6.685       6.633       6.658       6.541       6.604       7.244       7.799       6.718
  0.8000  4824.   -0.60   4.62  50.41  0.0000  0.0024       9.428       9.428       7.956       7.329       7.025       6.889       6.164       6.435       6.286       6.134       6.013       5.971       5.944       5.958       5.882       5.931       6.399       6.809       5.994
  0.9000  5218.   -0.35   4.56  57.14  0.0000  0.0784       8.195       8.195       6.945       6.435       6.187       6.020       5.496       5.697       5.588       5.472       5.387       5.357       5.343       5.352       5.307       5.345       5.701       6.022       5.379
  1.0000  5589.   -0.13   4.50  64.65  0.0000  0.3060       7.180       7.180       6.096       5.680       5.472       5.308       4.914       5.065       4.983       4.894       4.834       4.815       4.806       4.815       4.796       4.825       5.091       5.346       4.835
  1.1000  5913.    0.08   4.43  73.58  0.0000  0.5740       6.367       6.367       5.373       5.025       4.845       4.699       4.391       4.503       4.441       4.373       4.332       4.321       4.317       4.325       4.325       4.346       4.543       4.750       4.338
  1.2000  6186.    0.28   4.35  84.08  0.0000  0.7700       5.700       5.700       4.748       4.450       4.290       4.164       3.921       4.002       3.957       3.904       3.878       3.873       3.876       3.881       3.895       3.911       4.050       4.220       3.889
  1.3000  6440.    0.45   4.28  94.98  0.0000  0.8800       5.144       5.144       4.195       3.935       3.791       3.685       3.500       3.552       3.521       3.484       3.471       3.472       3.481       3.483       3.509       3.521       3.607       3.744       3.486
  1.4000  6695.    0.61   4.22 105.62  0.0000  0.9380       4.667       4.667       3.701       3.472       3.340       3.253       3.124       3.147       3.130       3.108       3.109       3.116       3.131       3.131       3.168       3.177       3.209       3.315       3.128
