#   t (Gyr) =  2.000
    M/MsTeff(K)    L/Ls  lg(g)  R(Gcm       D      Li         F33        F33B         F41        F45B         F47         F51         FHa         F57        F63B         F67         F75         F78         F82        F82B         F89       G_RSV           G        G_BP        G_RP
  0.0600  1379.   -4.59   5.31   6.26  0.0000  0.0000      29.945      29.945      27.105      25.342      24.476      25.784      22.438      26.188      22.644      21.802      21.387      20.848      19.014      18.706      17.175      17.888      19.821      24.975      18.353
  0.0700  1720.   -4.19   5.36   6.36  0.0000  0.0000      28.501      28.501      25.620      23.588      23.156      22.799      19.442      22.678      19.881      19.087      18.590      18.466      17.195      17.332      16.282      16.678      18.576      22.141      17.256
  0.0720  1811.   -4.09   5.37   6.40  0.0000  0.0000      28.231      28.231      25.394      23.279      22.848      22.478      19.203      22.389      19.667      18.875      18.320      18.192      16.865      16.995      15.883      16.395      18.220      21.849      16.877
  0.0900  2643.   -3.25   5.28   7.90  0.0000  0.0000      22.847      22.847      21.060      19.206      18.811      18.388      16.386      17.853      16.673      15.997      14.135      14.318      13.330      13.540      12.731      13.292      14.929      18.154      13.652
  0.1000  2810.   -3.06   5.24   8.72  0.0000  0.0000      20.842      20.842      19.044      17.548      17.185      16.768      15.219      16.385      15.511      14.924      13.170      13.307      12.568      12.750      12.122      12.511      14.135      16.719      12.930
  0.2000  3261.   -2.32   5.06  15.22  0.0000  0.0000      16.622      16.622      14.543      13.677      13.396      13.039      11.945      12.632      12.198      11.825      10.709      10.704      10.367      10.467      10.108      10.274      11.640      13.022      10.672
  0.3000  3415.   -1.98   4.97  20.53  0.0000  0.0000      15.353      15.353      13.337      12.495      12.211      11.872      10.807      11.419      11.045      10.711       9.769       9.738       9.472       9.556       9.248       9.384      10.646      11.829       9.748
  0.4000  3519.   -1.71   4.89  26.25  0.0000  0.0000      14.473      14.473      12.477      11.639      11.349      11.025       9.986      10.552      10.210       9.899       9.054       9.014       8.785       8.860       8.581       8.702       9.894      10.971       9.041
  0.5000  3679.   -1.45   4.80  32.44  0.0000  0.0000      13.553      13.553      11.571      10.712      10.402      10.106       9.099       9.592       9.298       9.021       8.331       8.276       8.100       8.161       7.925       8.027       9.101      10.030       8.322
  0.6000  3969.   -1.16   4.72  39.08  0.0000  0.0000      12.457      12.457      10.506       9.609       9.267       9.020       8.064       8.461       8.227       7.996       7.537       7.471       7.364       7.406       7.229       7.309       8.184       8.916       7.525
  0.7000  4396.   -0.86   4.66  44.93  0.0000  0.0000      10.966      10.966       9.209       8.431       8.068       7.958       6.972       7.335       7.127       6.926       6.723       6.661       6.610       6.635       6.518       6.581       7.216       7.766       6.694
  0.8000  4842.   -0.59   4.61  50.87  0.0000  0.0010       9.361       9.361       7.899       7.278       6.977       6.840       6.125       6.392       6.245       6.095       5.977       5.935       5.909       5.922       5.848       5.896       6.359       6.764       5.958
  0.9000  5244.   -0.33   4.55  57.99  0.0000  0.0734       8.106       8.106       6.869       6.366       6.121       5.954       5.441       5.638       5.531       5.417       5.333       5.305       5.291       5.301       5.257       5.295       5.644       5.959       5.327
  1.0000  5627.   -0.10   4.48  66.21  0.0000  0.3060       7.062       7.062       5.990       5.583       5.378       5.216       4.834       4.979       4.900       4.814       4.755       4.738       4.730       4.739       4.721       4.749       5.007       5.256       4.757
  1.1000  5945.    0.13   4.40  76.66  0.0000  0.5740       6.231       6.231       5.243       4.902       4.724       4.580       4.281       4.389       4.329       4.263       4.223       4.214       4.210       4.218       4.219       4.240       4.430       4.632       4.230
  1.2000  6202.    0.33   4.30  89.37  0.0000  0.7700       5.551       5.551       4.593       4.298       4.140       4.016       3.778       3.857       3.813       3.761       3.736       3.732       3.735       3.740       3.755       3.770       3.906       4.072       3.747
  1.3000  6403.    0.52   4.20 103.89  0.0000  0.8800       4.999       4.999       4.036       3.773       3.627       3.519       3.328       3.383       3.350       3.311       3.297       3.297       3.305       3.308       3.332       3.345       3.437       3.578       3.311
  1.4000  6464.    0.68   4.09 122.86  0.0000  0.9380       4.583       4.583       3.600       3.347       3.206       3.103       2.927       2.974       2.946       2.911       2.901       2.903       2.913       2.915       2.941       2.953       3.031       3.163       2.916
