  # t (Gyr) =  7.000
    M/MsTeff(K)    L/Ls  lg(g)  R(Gcm       D      Li         F33        F33B         F41        F45B         F47         F51         FHa         F57        F63B         F67         F75         F78         F82        F82B         F89       G_RSV           G        G_BP        G_RP
  0.0700  1626.   -4.30   5.37   6.28  0.0000  0.0000      29.117      29.117      26.203      24.259      23.820      23.501      20.017      23.379      20.424      19.621      19.148      19.000      17.719      17.849      16.798      17.150      19.100      22.814      17.777
  0.0720  1789.   -4.12   5.37   6.38  0.0000  0.0000      28.291      28.291      25.443      23.347      22.916      22.548      19.254      22.447      19.711      18.920      18.380      18.253      16.940      17.073      15.977      16.458      18.303      21.912      16.966
  0.0900  2645.   -3.25   5.28   7.90  0.0000  0.0000      22.828      22.828      21.041      19.190      18.796      18.371      16.376      17.841      16.662      15.986      14.124      14.309      13.323      13.532      12.725      13.284      14.922      18.142      13.645
  0.1000  2811.   -3.06   5.24   8.73  0.0000  0.0000      20.830      20.830      19.032      17.540      17.177      16.762      15.211      16.376      15.503      14.917      13.164      13.300      12.563      12.744      12.117      12.506      14.129      16.711      12.925
  0.2000  3263.   -2.31   5.05  15.33  0.0000  0.0000      16.593      16.593      14.516      13.652      13.372      13.015      11.922      12.608      12.175      11.802      10.689      10.683      10.347      10.447      10.088      10.254      11.619      12.998      10.652
  0.3000  3416.   -1.95   4.95  21.16  0.0000  0.0000      15.283      15.283      13.266      12.429      12.146      11.807      10.746      11.358      10.983      10.649       9.704       9.674       9.407       9.491       9.183       9.319      10.582      11.766       9.683
  0.4000  3522.   -1.70   4.88  26.57  0.0000  0.0000      14.439      14.439      12.442      11.606      11.315      10.992       9.955      10.519      10.178       9.867       9.024       8.984       8.755       8.830       8.552       8.673       9.863      10.938       9.011
  0.5000  3685.   -1.44   4.79  32.86  0.0000  0.0000      13.511      13.511      11.529      10.669      10.358      10.064       9.058       9.549       9.257       8.980       8.295       8.240       8.065       8.125       7.892       7.992       9.063       9.988       8.286
  0.6000  3995.   -1.14   4.70  39.64  0.0000  0.0000      12.366      12.366      10.416       9.517       9.173       8.930       7.981       8.371       8.141       7.914       7.473       7.407       7.305       7.345       7.173       7.251       8.109       8.826       7.461
  0.7000  4455.   -0.82   4.65  45.85  0.0000  0.0000      10.733      10.733       9.017       8.259       7.903       7.792       6.840       7.191       6.992       6.797       6.613       6.554       6.507       6.530       6.420       6.480       7.087       7.614       6.584
  0.8000  4937.   -0.52   4.58  52.91  0.0000  0.0001       9.029       9.029       7.622       7.032       6.746       6.598       5.939       6.187       6.051       5.911       5.802       5.763       5.741       5.753       5.686       5.732       6.166       6.546       5.786
  0.9000  5387.   -0.22   4.48  62.76  0.0000  0.0639       7.630       7.630       6.462       5.999       5.773       5.601       5.145       5.321       5.226       5.123       5.049       5.025       5.013       5.022       4.988       5.022       5.337       5.625       5.045
  1.0000  5783.    0.10   4.33  78.82  0.0000  0.3060       6.424       6.424       5.389       5.019       4.830       4.675       4.337       4.464       4.395       4.318       4.270       4.256       4.251       4.259       4.250       4.275       4.498       4.723       4.274
