# # Mass, Luminosity
9.400000000000000000e+01 9.000000000000000222e-01 2.099999999999999922e-01
8.000000000000000000e+01 4.000000000000000083e-02 -1.810000000000000053e+00
5.700000000000000000e+01 4.000000000000000222e-01 -3.200000000000000067e-01
5.000000000000000000e+00 1.762999999999999901e+00 5.296634438916577814e+00
4.300000000000000000e+01 9.000000000000000222e-01 2.099999999999999922e-01
4.000000000000000000e+00 4.000000000000000083e-02 -1.810000000000000053e+00
4.200000000000000000e+01 1.300000000000000044e-01 -9.599999999999999645e-01
5.600000000000000000e+01 9.000000000000000222e-01 2.099999999999999922e-01
8.100000000000000000e+01 9.000000000000000222e-01 2.099999999999999922e-01
9.500000000000000000e+01 1.300000000000000044e-01 -9.599999999999999645e-01
8.300000000000000000e+01 9.000000000000000222e-01 2.099999999999999922e-01
6.800000000000000000e+01 4.000000000000000083e-02 -1.810000000000000053e+00
4.000000000000000000e+01 9.000000000000000222e-01 2.099999999999999922e-01
6.000000000000000000e+00 4.000000000000000083e-02 -1.810000000000000053e+00
5.400000000000000000e+01 4.000000000000000083e-02 -1.810000000000000053e+00
5.500000000000000000e+01 9.000000000000000222e-01 2.099999999999999922e-01
4.100000000000000000e+01 1.000000000000000000e+00 2.800000000000000266e-01
7.000000000000000000e+00 9.000000000000000222e-01 2.099999999999999922e-01
6.900000000000000000e+01 2.000000000000000111e-01 -6.600000000000000311e-01
8.200000000000000000e+01 9.000000000000000222e-01 2.099999999999999922e-01
8.600000000000000000e+01 9.000000000000000222e-01 2.099999999999999922e-01
9.200000000000000000e+01 5.000000000000000000e-01 -1.799999999999999933e-01
3.000000000000000000e+00 4.000000000000000083e-02 -1.810000000000000053e+00
4.500000000000000000e+01 1.000000000000000000e+00 2.800000000000000266e-01
5.100000000000000000e+01 1.550000000000000044e+00 4.295364267648873025e+00
7.900000000000000000e+01 1.199999999999999956e+00 4.099999999999999756e-01
7.800000000000000000e+01 1.300000000000000044e-01 -9.599999999999999645e-01
5.000000000000000000e+01 1.300000000000000044e-01 -9.599999999999999645e-01
2.000000000000000000e+00 1.199999999999999956e+00 4.099999999999999756e-01
4.400000000000000000e+01 9.000000000000000222e-01 2.099999999999999922e-01
9.300000000000000000e+01 1.300000000000000044e-01 -9.599999999999999645e-01
8.700000000000000000e+01 9.000000000000000222e-01 2.099999999999999922e-01
9.100000000000000000e+01 4.000000000000000222e-01 -3.200000000000000067e-01
8.500000000000000000e+01 5.999999999999999778e-01 -7.000000000000000666e-02
5.200000000000000000e+01 1.300000000000000044e-01 -9.599999999999999645e-01
4.600000000000000000e+01 2.000000000000000111e-01 -6.600000000000000311e-01
0.000000000000000000e+00 1.300000000000000044e-01 -9.599999999999999645e-01
4.700000000000000000e+01 4.000000000000000083e-02 -1.810000000000000053e+00
1.000000000000000000e+00 9.000000000000000222e-01 2.099999999999999922e-01
5.300000000000000000e+01 1.000000000000000000e+00 2.800000000000000266e-01
8.400000000000000000e+01 1.300000000000000044e-01 -9.599999999999999645e-01
9.000000000000000000e+01 2.000000000000000111e-01 -6.600000000000000311e-01
3.400000000000000000e+01 2.000000000000000111e-01 -6.600000000000000311e-01
2.000000000000000000e+01 5.999999999999999778e-01 -7.000000000000000666e-02
2.100000000000000000e+01 1.199999999999999956e+00 4.099999999999999756e-01
3.500000000000000000e+01 9.000000000000000222e-01 2.099999999999999922e-01
2.300000000000000000e+01 5.999999999999999778e-01 -7.000000000000000666e-02
3.700000000000000000e+01 5.999999999999999778e-01 -7.000000000000000666e-02
3.600000000000000000e+01 1.000000000000000000e+00 2.800000000000000266e-01
2.200000000000000000e+01 1.000000000000000000e+00 2.800000000000000266e-01
2.600000000000000000e+01 9.000000000000000222e-01 2.099999999999999922e-01
3.200000000000000000e+01 6.999999999999999556e-01 4.000000000000000083e-02
3.300000000000000000e+01 1.199999999999999956e+00 4.099999999999999756e-01
2.700000000000000000e+01 1.300000000000000044e-01 -9.599999999999999645e-01
3.100000000000000000e+01 4.000000000000000083e-02 -1.810000000000000053e+00
2.500000000000000000e+01 1.300000000000000044e-01 -9.599999999999999645e-01
1.900000000000000000e+01 1.300000000000000044e-01 -9.599999999999999645e-01
1.800000000000000000e+01 4.000000000000000083e-02 -1.810000000000000053e+00
2.400000000000000000e+01 4.000000000000000083e-02 -1.810000000000000053e+00
3.000000000000000000e+01 9.000000000000000222e-01 2.099999999999999922e-01
2.900000000000000000e+01 4.000000000000000083e-02 -1.810000000000000053e+00
1.500000000000000000e+01 9.000000000000000222e-01 2.099999999999999922e-01
1.400000000000000000e+01 5.000000000000000000e-01 -1.799999999999999933e-01
2.800000000000000000e+01 9.000000000000000222e-01 2.099999999999999922e-01
1.600000000000000000e+01 1.199999999999999956e+00 4.099999999999999756e-01
1.700000000000000000e+01 2.000000000000000111e-01 -6.600000000000000311e-01
1.300000000000000000e+01 1.000000000000000000e+00 2.800000000000000266e-01
1.200000000000000000e+01 2.000000000000000111e-01 -6.600000000000000311e-01
1.000000000000000000e+01 4.000000000000000083e-02 -1.810000000000000053e+00
3.800000000000000000e+01 1.199999999999999956e+00 4.099999999999999756e-01
3.900000000000000000e+01 4.000000000000000083e-02 -1.810000000000000053e+00
1.100000000000000000e+01 1.300000000000000044e-01 -9.599999999999999645e-01
8.900000000000000000e+01 4.000000000000000083e-02 -1.810000000000000053e+00
7.600000000000000000e+01 2.000000000000000111e-01 -6.600000000000000311e-01
6.200000000000000000e+01 4.000000000000000222e-01 -3.200000000000000067e-01
6.300000000000000000e+01 4.000000000000000222e-01 -3.200000000000000067e-01
7.700000000000000000e+01 6.999999999999999556e-01 4.000000000000000083e-02
8.800000000000000000e+01 2.999999999999999889e-02 -1.979999999999999982e+00
4.900000000000000000e+01 9.000000000000000222e-01 2.099999999999999922e-01
6.100000000000000000e+01 4.000000000000000083e-02 -1.810000000000000053e+00
7.500000000000000000e+01 2.000000000000000111e-01 -6.600000000000000311e-01
7.400000000000000000e+01 1.300000000000000044e-01 -9.599999999999999645e-01
6.000000000000000000e+01 4.000000000000000222e-01 -3.200000000000000067e-01
4.800000000000000000e+01 9.000000000000000222e-01 2.099999999999999922e-01
6.400000000000000000e+01 9.000000000000000222e-01 2.099999999999999922e-01
7.000000000000000000e+01 9.000000000000000222e-01 2.099999999999999922e-01
5.800000000000000000e+01 4.000000000000000083e-02 -1.810000000000000053e+00
5.900000000000000000e+01 9.000000000000000222e-01 2.099999999999999922e-01
7.100000000000000000e+01 4.000000000000000083e-02 -1.810000000000000053e+00
6.500000000000000000e+01 9.000000000000000222e-01 2.099999999999999922e-01
7.300000000000000000e+01 1.350000000000000089e+00 3.451437393358562922e+00
6.700000000000000000e+01 9.000000000000000222e-01 2.099999999999999922e-01
9.000000000000000000e+00 2.000000000000000111e-01 -6.600000000000000311e-01
8.000000000000000000e+00 1.300000000000000044e-01 -9.599999999999999645e-01
6.600000000000000000e+01 9.000000000000000222e-01 2.099999999999999922e-01
7.200000000000000000e+01 4.000000000000000083e-02 -1.810000000000000053e+00
