   #t (Gyr) =  3.000
    M/MsTeff(K)    L/Ls  lg(g)  R(Gcm       D      Li         F33        F33B         F41        F45B         F47         F51         FHa         F57        F63B         F67         F75         F78         F82        F82B         F89       G_RSV           G        G_BP        G_RP
  0.0600  1313.   -4.70   5.33   6.07  0.0000  0.0000      30.375      30.375      27.572      25.796      24.853      26.560      23.430      27.139      23.577      22.725      22.163      21.505      19.663      19.163      17.500      18.397      20.173      25.577      18.668
  0.0700  1650.   -4.27   5.37   6.30  0.0000  0.0000      29.044      29.044      26.142      24.179      23.738      23.425      19.970      23.340      20.381      19.578      19.100      18.951      17.651      17.778      16.712      17.085      19.025      22.758      17.698
  0.0720  1793.   -4.11   5.37   6.38  0.0000  0.0000      28.282      28.282      25.435      23.336      22.905      22.536      19.245      22.434      19.703      18.911      18.368      18.241      16.926      17.058      15.958      16.445      18.286      21.900      16.948
  0.0900  2644.   -3.25   5.28   7.90  0.0000  0.0000      22.843      22.843      21.056      19.203      18.809      18.385      16.384      17.851      16.671      15.995      14.133      14.317      13.328      13.539      12.730      13.290      14.928      18.152      13.651
  0.1000  2810.   -3.06   5.24   8.72  0.0000  0.0000      20.840      20.840      19.041      17.547      17.184      16.767      15.218      16.384      15.509      14.923      13.169      13.305      12.567      12.749      12.121      12.510      14.134      16.718      12.929
  0.2000  3261.   -2.32   5.06  15.23  0.0000  0.0000      16.617      16.617      14.539      13.674      13.393      13.036      11.941      12.629      12.194      11.822      10.706      10.701      10.364      10.464      10.105      10.271      11.637      13.018      10.669
  0.3000  3416.   -1.97   4.97  20.70  0.0000  0.0000      15.335      15.335      13.318      12.478      12.194      11.854      10.791      11.403      11.029      10.694       9.752       9.721       9.455       9.539       9.231       9.366      10.629      11.812       9.731
  0.4000  3520.   -1.71   4.88  26.32  0.0000  0.0000      14.465      14.465      12.468      11.631      11.341      11.017       9.979      10.544      10.202       9.891       9.047       9.007       8.777       8.852       8.574       8.695       9.886      10.963       9.034
  0.5000  3679.   -1.45   4.80  32.56  0.0000  0.0000      13.545      13.545      11.562      10.703      10.393      10.098       9.091       9.583       9.290       9.013       8.323       8.268       8.092       8.153       7.917       8.019       9.093      10.022       8.314
  0.6000  3974.   -1.15   4.71  39.21  0.0000  0.0000      12.439      12.439      10.488       9.590       9.248       9.002       8.047       8.443       8.209       7.980       7.524       7.457       7.352       7.393       7.217       7.296       8.168       8.898       7.512
  0.7000  4407.   -0.85   4.66  45.13  0.0000  0.0000      10.921      10.921       9.172       8.397       8.036       7.925       6.945       7.306       7.100       6.900       6.701       6.640       6.589       6.614       6.498       6.561       7.190       7.736       6.671
  0.8000  4859.   -0.57   4.61  51.25  0.0000  0.0005       9.299       9.299       7.848       7.232       6.934       6.795       6.091       6.354       6.209       6.061       5.944       5.903       5.878       5.891       5.818       5.865       6.323       6.723       5.926
  0.9000  5270.   -0.31   4.54  58.79  0.0000  0.0702       8.018       8.018       6.794       6.299       6.058       5.889       5.387       5.580       5.476       5.364       5.282       5.255       5.241       5.251       5.209       5.246       5.588       5.898       5.276
  1.0000  5661.   -0.06   4.46  67.79  0.0000  0.3060       6.951       6.951       5.889       5.490       5.289       5.128       4.756       4.897       4.820       4.736       4.680       4.663       4.656       4.665       4.649       4.676       4.927       5.170       4.682
  1.1000  5974.    0.17   4.36  80.15  0.0000  0.5740       6.093       6.093       5.108       4.773       4.598       4.456       4.165       4.269       4.211       4.147       4.109       4.100       4.098       4.105       4.107       4.128       4.312       4.509       4.116
  1.2000  6191.    0.39   4.24  95.81  0.0000  0.7700       5.419       5.419       4.452       4.157       3.999       3.873       3.635       3.714       3.669       3.617       3.592       3.588       3.590       3.595       3.609       3.625       3.762       3.930       3.603
  1.3000  6177.    0.56   4.10 117.25  0.0000  0.8800       5.010       5.010       4.023       3.729       3.571       3.445       3.206       3.286       3.241       3.189       3.163       3.159       3.161       3.166       3.179       3.196       3.334       3.502       3.174
