#   t (Gyr) =  6.000
    M/MsTeff(K)    L/Ls  lg(g)  R(Gcm       D      Li         F33        F33B         F41        F45B         F47         F51         FHa         F57        F63B         F67         F75         F78         F82        F82B         F89       G_RSV           G        G_BP        G_RP
  0.0700  1626.   -4.30   5.37   6.28  0.0000  0.0000      29.117      29.117      26.202      24.259      23.820      23.500      20.017      23.378      20.424      19.621      19.147      19.000      17.719      17.849      16.798      17.150      19.100      22.814      17.776
  0.0720  1789.   -4.12   5.37   6.38  0.0000  0.0000      28.291      28.291      25.443      23.347      22.916      22.548      19.254      22.447      19.711      18.919      18.380      18.253      16.940      17.073      15.977      16.458      18.302      21.912      16.966
  0.0900  2645.   -3.25   5.28   7.90  0.0000  0.0000      22.831      22.831      21.045      19.193      18.799      18.375      16.378      17.843      16.664      15.988      14.126      14.311      13.324      13.534      12.726      13.286      14.923      18.144      13.646
  0.1000  2811.   -3.06   5.24   8.73  0.0000  0.0000      20.832      20.832      19.034      17.542      17.178      16.763      15.213      16.378      15.504      14.918      13.165      13.301      12.564      12.745      12.118      12.507      14.130      16.712      12.926
  0.2000  3263.   -2.31   5.05  15.30  0.0000  0.0000      16.600      16.600      14.523      13.658      13.378      13.021      11.928      12.614      12.180      11.808      10.694      10.688      10.352      10.452      10.093      10.259      11.625      13.004      10.657
  0.3000  3416.   -1.96   4.95  21.07  0.0000  0.0000      15.293      15.293      13.276      12.438      12.156      11.816      10.755      11.367      10.992      10.658       9.713       9.683       9.416       9.500       9.192       9.328      10.591      11.775       9.692
  0.4000  3521.   -1.70   4.88  26.52  0.0000  0.0000      14.444      14.444      12.447      11.611      11.320      10.997       9.960      10.524      10.183       9.872       9.029       8.988       8.759       8.834       8.556       8.677       9.868      10.943       9.015
  0.5000  3683.   -1.44   4.79  32.80  0.0000  0.0000      13.519      13.519      11.537      10.677      10.367      10.072       9.066       9.557       9.265       8.988       8.301       8.246       8.071       8.132       7.897       7.998       9.070       9.996       8.293
  0.6000  3990.   -1.14   4.71  39.54  0.0000  0.0000      12.385      12.385      10.434       9.536       9.192       8.949       7.998       8.390       8.158       7.931       7.486       7.420       7.317       7.357       7.184       7.263       8.124       8.845       7.474
  0.7000  4442.   -0.83   4.65  45.66  0.0000  0.0000      10.782      10.782       9.057       8.295       7.938       7.827       6.867       7.221       7.020       6.824       6.636       6.576       6.529       6.552       6.440       6.501       7.114       7.646       6.607
  0.8000  4916.   -0.53   4.59  52.47  0.0000  0.0001       9.100       9.100       7.682       7.085       6.795       6.650       5.979       6.230       6.092       5.950       5.839       5.800       5.777       5.790       5.721       5.767       6.207       6.593       5.823
  0.9000  5355.   -0.24   4.50  61.58  0.0000  0.0647       7.738       7.738       6.555       6.083       5.853       5.682       5.214       5.394       5.296       5.191       5.115       5.090       5.078       5.087       5.051       5.085       5.408       5.702       5.111
  1.0000  5764.    0.05   4.37  75.02  0.0000  0.3060       6.562       6.562       5.525       5.149       4.958       4.802       4.459       4.588       4.518       4.440       4.390       4.376       4.370       4.378       4.368       4.394       4.621       4.850       4.394
  1.1000  5847.    0.30   4.19  96.57  0.0000  0.5740       5.889       5.889       4.858       4.503       4.322       4.169       3.850       3.968       3.903       3.831       3.786       3.774       3.770       3.778       3.773       3.796       4.005       4.220       3.791
